rank,company,revenue ($ millions),profit ($ millions),Sector
301,Gerber Products,1203.2,112.8,Consumer Defensive
302,Savannah Foods & Industries,1203.0,38.3,Consumer Defensive
303,Clark Equipment,1201.0,-337.5,Industrials
304,Dresser-Rand,1192.4,N.A.,Industrials
305,Brooke Group,1174.8,-149.6,Financial Services
306,Pentair,1170.1,41.1,Industrials
307,Anchor Glass Container,1166.5,21.7,Basic Materials
308,Wm. Wrigley Jr.,1159.8,128.7,Consumer Defensive
309,M.A. Hanna,1150.2,1.9,Basic Materials
310,Bemis,1141.6,53.0,Basic Materials
311,Fort Howard,1138.2,-110.6,Basic Materials
312,Magnetek,1134.3,34.6,Industrials
313,IMC Global,1133.3,95.8,Basic Materials
314,SCI Systems,1128.9,12.6,Consumer Cyclical
315,Newell Rubbermaid,1127.4,112.2,Consumer Defensive
316,Brown-Forman,1126.0,145.2,Consumer Defensive
317,Interstate Bakeries,1106.7,-8.0,Consumer Defensive
318,Tesoro,1089.2,3.9,Basic Materials
319,Lear,1085.3,-33.2,Consumer Cyclical
320,Leggett & Platt,1081.8,39.4,Consumer Cyclical
321,First Brands,1073.0,46.2,Consumer Defensive
322,Smithfield Foods,1071.8,28.7,Consumer Defensive
323,Union Texas,1069.3,332.8,Energy
324,Ferro,1065.6,4.8,Industrials
325,Inspiration Resources,1061.7,-151.7,Energy
326,Domino Sugar,1057.6,N.A.,Consumer Defensive
327,Cyclops Industries,1056.5,-41.2,Healthcare
328,Alliant Techsystems,1047.1,33.2,Industrials
329,Standard Commercial,1046.2,-9.6,NaN
330,Weirton Steel,1039.5,-74.7,Basic Materials
331,Medtronic,1031.1,133.4,Healthcare
332,Imo Industries,1024.0,11.4,Energy
333,Intl. Flavors & Frag.,1017.0,168.7,Basic Materials
334,DIMON,1012.1,21.2,Financial Services
335,Valero Energy,1011.8,98.7,Energy
336,Vulcan Materials,1009.0,52.6,Basic Materials
337,Allegheny Technologies,1004.6,41.1,Industrials
338,Cooper Tire & Rubber,1001.6,79.4,Consumer Cyclical
339,Western Digital,986.2,-134.2,Technology
340,Pittway,983.9,25.5,Industrials
341,Outboard Marine,983.6,-84.3,Industrials
342,Holnam,979.3,-95.1,Basic Materials
343,ITT Rayonier,978.9,44.3,Basic Materials
344,Wheeling Pittsburgh,957.6,4.7,Basic Materials
345,Briggs & Stratton,951.6,36.5,Industrials
346,Ocean Spray,946.0,N.A.,Consumer Defensive
347,Dexter,944.5,-7.1,Industrials
348,Harley-Davidson,939.9,37.0,Consumer Cyclical
349,Mark IV Industries,937.3,25.6,Industrials
350,Nortek,925.8,-27.1,Industrials
351,GAF,925.6,210.4,Basic Materials
352,A.O. Smith,921.4,5.0,Industrials
353,Nerco,919.6,83.1,Industrials
354,Allergan,906.8,-59.5,Healthcare
355,Helene Curtis Industries,891.9,1.7,Consumer Defensive
356,Sunbeam/Oster,885.6,48.1,Consumer Cyclical
357,Essex Group,885.5,13.0,Real Estate
358,Herman Miller,884.3,14.1,Consumer Cyclical
359,Consolidated Papers,882.4,91.4,Basic Materials
360,Snap-On,881.6,34.3,Industrials
361,Applera,880.4,-15.6,Healthcare
362,UST,879.5,265.9,Consumer Defensive
363,Quantum,877.7,73.9,Technology
364,C.R. Bard,876.0,57.2,Healthcare
365,Maxtor,875.3,-45.4,Technology
366,Worthington Industries,874.9,44.6,Industrials
367,Alberto-Culver,873.7,30.1,Consumer Defensive
368,Natl. Coop. Refinery Assn.,869.5,N.A.,Energy
369,AG Processing,866.1,N.A.,Consumer Defensive
370,Cray Research,862.5,113.0,Technology
371,AM International,860.0,8.8,Technology
372,Jostens,859.9,64.2,Consumer Cyclical
373,Beckman Coulter,857.9,38.1,Technology
374,H.B. Fuller,855.3,27.7,Basic Materials
375,Lincoln Electric Holdings,843.7,14.4,Industrials
376,United States Surgical,843.6,91.2,Healthcare
377,NL Industries,841.5,-16.5,Industrials
378,Chesapeake,840.5,15.4,Energy
379,Georgia Gulf,838.3,61.5,Basic Materials
380,Danaher,837.4,13.3,Healthcare
381,Leslie Fay,836.6,29.4,Consumer Cyclical
382,Universal Foods,834.3,57.8,Consumer Defensive
383,Uniroyal Chemical,832.3,-31.7,Consumer Cyclical
384,Flowers Industries,831.2,24.0,Consumer Defensive
385,Thermo Electron,827.8,47.1,Healthcare
386,Crystal Brands,826.9,-71.4,Consumer Cyclical
387,Louisiana Land & Exploration,825.3,20.9,Financial Services
388,Tri Valley Growers,824.7,N.A.,Consumer Defensive
389,Foodbrands America,820.2,69.3,Consumer Defensive
390,Thorn Apple Valley,818.0,19.6,Consumer Defensive
391,Amsted Industries,817.2,17.8,Industrials
392,Quaker State,813.6,22.7,Consumer Defensive
393,Kellwood,811.5,12.4,Consumer Cyclical
394,Phillips-Van Heusen,807.8,26.4,Consumer Cyclical
395,Wellman,805.7,45.3,Basic Materials
396,Russell,804.6,56.8,Consumer Cyclical
397,CF Industries,803.1,N.A.,Basic Materials
